File,GW Site/SW Distance Threshold,GW-GW Distance Threshold,GW Features,SW Nodes,GW Nodes,PFAS Nodes,GW-SW Edges,SW-GW Edges,GW-PFAS Edges,PFAS-GW Edges,SW-PFAS Edges,PFAS-SW Edges,GW-GW Edges
SWL_DEM_Geological_10000_1000.pth,10000,1000,"SWL, DEM, Geological",0,0,0,28666,28666,36487,36487,2475,2475,14471
SWL_DEM_5000_1000.pth,5000,1000,"SWL, DEM",0,0,0,8922,8922,12526,12526,845,845,14471
DEM_5000_1000.pth,5000,1000,DEM,0,0,0,8922,8922,12526,12526,845,845,14471
SWL_DEM_Geological_5000_1000.pth,5000,1000,"SWL, DEM, Geological",0,0,0,8922,8922,12526,12526,845,845,14471
SWL_DEM_7500_1000.pth,7500,1000,"SWL, DEM",0,0,0,17553,17553,23082,23082,1548,1548,14471
DEM_7500_1000.pth,7500,1000,DEM,0,0,0,17553,17553,23082,23082,1548,1548,14471
SWL_DEM_Geological_7500_1000.pth,7500,1000,"SWL, DEM, Geological",0,0,0,17553,17553,23082,23082,1548,1548,14471
SWL_DEM_10000_1000.pth,10000,1000,"SWL, DEM",0,0,0,28666,28666,36487,36487,2475,2475,14471
DEM_10000_1000.pth,10000,1000,DEM,0,0,0,28666,28666,36487,36487,2475,2475,14471
SWL_DEM_lithological_5000_1000.pth,5000,1000,"SWL, DEM, lithological",0,0,0,8922,8922,12526,12526,845,845,14471
SWL_DEM_lithological_7500_1000.pth,7500,1000,"SWL, DEM, lithological",0,0,0,17553,17553,23082,23082,1548,1548,14471
SWL_DEM_lithological_10000_1000.pth,10000,1000,"SWL, DEM, lithological",0,0,0,28666,28666,36487,36487,2475,2475,14471
SWL_DEM_5000_500.pth,5000,500,"SWL, DEM",0,0,0,8922,8922,12526,12526,845,845,14471
SWL_DEM_10000_500.pth,10000,500,"SWL, DEM",0,0,0,28666,28666,36487,36487,2475,2475,14471
SWL_DEM_7500_500.pth,7500,500,"SWL, DEM",0,0,0,17553,17553,23082,23082,1548,1548,14471
DEM_5000_500.pth,5000,500,DEM,0,0,0,8922,8922,12526,12526,845,845,14471
DEM_7500_500.pth,7500,500,DEM,0,0,0,17553,17553,23082,23082,1548,1548,14471
DEM_10000_500.pth,10000,500,DEM,0,0,0,28666,28666,36487,36487,2475,2475,14471
SWL_DEM_lithological_10000_500.pth,10000,500,"SWL, DEM, lithological",0,0,0,28666,28666,36487,36487,2475,2475,14471
SWL_DEM_lithological_5000_500.pth,5000,500,"SWL, DEM, lithological",0,0,0,8922,8922,12526,12526,845,845,14471
SWL_DEM_lithological_7500_500.pth,7500,500,"SWL, DEM, lithological",0,0,0,17553,17553,23082,23082,1548,1548,14471
